time, Quad.IMU.AX
1.465012,0.092133
1.470013,-0.156016
1.475013,0.037192
1.480013,0.853196
1.485013,1.061152
1.490014,0.785337
1.495014,0.286290
1.500014,-0.399289
1.505014,0.150704
1.510015,-0.113454
1.515015,-0.755840
1.520015,-0.109679
1.525015,0.187106
1.530015,0.274258
1.535016,-0.405334
1.540016,0.139058
1.545016,0.221929
1.550016,0.268194
1.555017,0.204387
1.560017,0.097564
1.565017,0.660303
1.570017,-0.612278
1.575018,0.105899
1.580018,0.144969
1.585018,0.033193
1.590018,-0.302272
1.595019,0.445375
1.600019,0.367402
1.605019,0.227924
1.610019,-0.275595
1.615019,-0.226950
1.620020,-0.500856
1.625020,0.439505
1.630020,0.073485
1.635020,0.456482
1.640021,-0.218063
1.645021,-0.401088
1.650021,-0.162824
1.655021,-0.686783
1.660022,-0.680502
1.665022,0.184230
1.670022,0.434692
1.675022,0.195413
1.680022,1.388369
1.685023,0.477428
1.690023,0.441738
1.695023,0.205431
1.700023,0.068544
1.705024,0.418920
1.710024,1.039090
1.715024,0.415648
1.720024,0.118137
1.725025,-0.160461
1.730025,0.012065
1.735025,0.598597
1.740025,0.166711
1.745026,-0.570100
1.750026,0.185387
1.755026,-0.224404
1.760026,0.507622
1.765026,-0.386750
1.770027,0.227241
1.775027,0.844179
1.780027,0.293294
1.785027,-0.005124
1.790028,-0.156446
1.795028,0.130088
1.800028,-0.207032
1.805028,0.268389
1.810029,-0.977091
1.815029,-0.841643
1.820029,-0.206605
1.825029,-0.655976
1.830029,-1.249578
1.835030,0.410573
1.840030,0.819703
1.845030,0.153761
1.850030,0.086727
1.855031,0.151952
1.860031,-0.215231
1.865031,-0.700537
1.870031,0.289871
1.875032,-0.783957
1.880032,0.268223
1.885032,0.379579
1.890032,1.273989
1.895033,0.171327
1.900033,-0.315908
1.905033,0.784903
1.910033,-0.013918
1.915033,0.059219
1.920034,1.063098
1.925034,-0.217574
1.930034,-0.660737
1.935034,0.122293
1.940035,0.472144
1.945035,-0.307210
1.950035,-0.481887
1.955035,0.406167
1.960036,-0.575438
1.965036,0.041333
1.970036,-0.669598
1.975036,-1.103682
1.980036,0.382881
1.985037,0.861244
1.990037,-1.018437
1.995037,-0.056500
2.000037,-1.376277
2.005037,0.343981
2.010037,1.096149
2.015036,-1.027481
2.020036,-0.520920
2.025036,-0.870175
2.030035,0.481496
2.035035,-0.008853
2.040035,0.128479
2.045034,0.884768
2.050034,0.480761
2.055033,0.469768
2.060033,-0.217558
2.065033,-0.133127
2.070032,0.040120
2.075032,0.518648
2.080032,-0.283518
2.085031,0.188001
2.090031,-0.717529
2.095031,-0.033490
2.100030,0.328659
2.105030,-0.453140
2.110029,0.435945
2.115029,0.821923
2.120029,0.273606
2.125028,0.501289
2.130028,-1.407833
2.135028,0.252382
2.140027,-0.599519
2.145027,-1.037450
2.150027,0.070881
2.155026,0.304278
2.160026,0.616689
2.165025,0.675340
2.170025,0.031356
2.175025,-0.253566
2.180024,-0.341966
2.185024,0.388964
2.190024,-0.093498
2.195023,-0.139808
2.200023,0.252501
2.205023,-0.275001
2.210022,0.521230
2.215022,0.643004
2.220021,-0.280102
2.225021,0.153769
2.230021,0.337329
2.235020,-0.249181
2.240020,0.840121
2.245020,0.651117
2.250019,0.443052
2.255019,0.397914
2.260019,-0.041917
2.265018,0.432408
2.270018,0.514629
2.275017,0.167387
2.280017,-0.310452
2.285017,-0.072123
2.290016,-0.162686
2.295016,-0.034737
2.300016,0.629968
2.305015,0.068146
2.310015,-0.129539
2.315015,0.172282
2.320014,0.141114
2.325014,-0.192301
2.330014,0.477863
2.335013,-0.248587
2.340013,0.043811
2.345012,0.673411
2.350012,-0.562571
2.355012,-0.306647
2.360011,0.184892
2.365011,0.106874
2.370011,0.538720
2.375010,0.491532
2.380010,-0.242518
2.385010,0.267532
2.390009,-0.854406
2.395009,0.241045
2.400008,-0.268537
2.405008,-0.338126
2.410008,-0.822034
2.415007,-0.488123
2.420007,-1.143848
2.425007,0.159919
2.430006,-0.703678
2.435006,0.672185
2.440006,-0.702397
2.445005,-0.192541
2.450005,0.559210
2.455004,0.836139
2.460004,0.977613
2.465004,-0.296070
2.470003,-0.273859
2.475003,0.486228
2.480003,-0.072951
2.485002,-0.868737
2.490002,0.061545
2.495002,0.716806
2.500001,-0.522629
2.505001,0.014230
2.510000,0.172392
2.515000,0.257503
2.520000,-0.898376
2.524999,-0.303086
2.529999,-0.511545
2.534999,0.114859
2.539998,-0.872170
2.544998,0.220872
2.549998,0.259311
2.554997,-0.236987
2.559997,0.131860
2.564996,0.472352
2.569996,-0.633555
2.574996,-0.342989
2.579995,-0.329951
2.584995,0.544661
2.589995,-0.542335
2.594994,-0.558314
2.599994,0.077956
2.604994,0.457309
2.609993,-0.636537
2.614993,0.467907
2.619992,0.579275
2.624992,-0.010964
2.629992,-0.312383
2.634991,0.341611
2.639991,-0.539722
2.644991,-0.166021
2.649990,0.107973
2.654990,-0.852946
2.659990,0.144225
2.664989,0.906760
2.669989,-0.101443
2.674989,-0.063336
2.679988,0.108591
2.684988,0.155784
2.689987,0.084066
2.694987,-1.015865
2.699987,0.257385
2.704986,-0.181721
2.709986,-0.183138
2.714986,0.473693
2.719985,-0.159071
2.724985,0.582352
2.729985,-0.113385
2.734984,0.430473
2.739984,0.259032
2.744983,-0.705822
2.749983,-0.061011
2.754983,0.342444
2.759982,0.145359
2.764982,-0.050888
2.769982,-0.098255
2.774981,-0.905525
2.779981,0.126880
2.784981,0.769837
2.789980,-0.493355
2.794980,1.354182
2.799979,-0.803441
2.804979,-0.900678
2.809979,-0.281690
2.814978,-0.007334
2.819978,-0.318832
2.824978,-0.574477
2.829977,0.672026
2.834977,-1.161164
2.839977,-0.388722
2.844976,0.295634
2.849976,-0.246939
2.854975,-0.396398
2.859975,-0.203062
2.864975,-0.525832
2.869974,-0.305818
2.874974,0.235242
2.879974,0.673734
2.884973,-0.719817
2.889973,0.651149
2.894973,0.171736
2.899972,-0.410059
2.904972,-0.678051
2.909971,1.047537
2.914971,0.419119
2.919971,0.636684
2.924970,-0.350556
2.929970,0.363189
2.934970,-0.330788
2.939969,0.231792
2.944969,-0.217681
2.949969,-0.119864
2.954968,-0.151222
2.959968,0.694825
2.964967,0.031897
2.969967,0.179934
2.974967,-0.716119
2.979966,0.974468
2.984966,-0.434093
